Course Number,Course Title,Credits,Description,Offered,Liberal Arts Requirements,Prerequisites,Tags,Sections
ARBC 102,Elementary Arabic,6 credits,"This course sequence introduces non-Arabic speakers to the sounds, script, and basic grammar of Arabic–the language of 200 million speakers in the Arab world and the liturgical language of over a billion Muslims. Students will develop basic listening, speaking, reading and writing skills in Modern Standard Arabic. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music.",Winter 2025,No Exploration,Student has completed any of the following course(s): ARBC 101 – Elementary Arabic with a grade of C- or better or equivalent.,MEST Pertinent | MEST Pertinent | CL: 100 level,"ARBC
                                                 102.00 | Winter 2025 | Faculty: | Zaki Haidar | 🏫 | 👤 | Size: | 16 | M, W | Language & Dining Center 244 | 9:50am-11:00am | T, TH | Language & Dining Center 244 | 9:30am-10:35am | F | Language & Dining Center 244 | 9:40am-10:40am"
ARBC 205,Intermediate Arabic,6 credits,"In this course sequence students will continue to develop their reading, writing, listening and speaking skills, while building a solid foundation of Arabic grammar (morphology and syntax). Students will develop their ability to express ideas in Modern Standard Arabic by writing essays and preparing oral presentations. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music.",Winter 2025,LP Language Requirement | No Exploration,Student has completed the following course(s): ARBC 204 – Intermediate Arabic with a grade of C- or better or equivalent .,MEST Pertinent | MEST Pertinent | CL: 200 level,"ARBC
                                                 205.00 | Winter 2025 | Faculty: | Yaron Klein | 🏫 | 👤 | Size: | 16 | M, W | Language & Dining Center 205 | 11:10am-12:20pm | F | Language & Dining Center 205 | 12:00pm-1:00pm"
ARBC 310,Advanced Media Arabic,6 credits,"Readings of excerpts from the Arabic press and listening to news editions, commentaries and other radio and TV programs from across the Arab world. Emphasis is on vocabulary expansion, text comprehension strategies, and further development of reading and listening comprehension. Class includes oral discussions and regular written assignments in Arabic.",Winter 2025,"IS, International Studies | LA, Literary/Artistic Analysis",Student has completed any of the following course(s): ARBC 206 – Arabic in Cultural Context or equivalent with a grade of C- or better.,MEST Supporting Group 2 | CL: 300 level,"ARBC
                                                 310.00 | Winter 2025 | Faculty: | Zaki Haidar | 🏫 | 👤 | Size: | 15 | M, W | Language & Dining Center 205 | 1:50pm-3:00pm | F | Language & Dining Center 205 | 2:20pm-3:20pm"
ARCN 101,The Human Story: Archaeology and the Anthropocene,6 credits,"What are the origins of our species? How did our ancestors evolve in Africa and disperse to nearly every corner of the globe? How did people create tools and homes, transform landscapes, and build cities? What are the origins of art? Of agriculture? Of mass-transport and communication technologies? Writing is about 5000 years old, meaning over 99% of the human past (c. 4 million years) is documented only through the material record of fossils, artifacts, and environmental impacts. This course examines the material worlds of humanity, and how archaeology provides a unique, “big-picture” story of our shared past.",Winter 2025,"HI, Humanistic Inquiry | IS, International Studies | QRE, Quantitative Reasoning",,ARCN Pertinent | CL: 100 level | SOAN Pertinent,"ARCN
                                                 101.00 | Winter 2025 | Faculty: | Alex Knodell | 🏫 | 👤 | Size: | 30 | M, W | Anderson Hall 121 | 11:10am-12:20pm | F | Anderson Hall 121 | 12:00pm-1:00pm"
ARCN 392,Independent Research,,"Register for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Winter 2025,No Exploration,,CL: Independent Study,"ARCN
                                                 392.11 | Winter 2025 | Faculty: | Sarah Kennedy | 🏫 | 👤 | Credits: | 1 – 6 || ARCN
                                                 392.12 | Winter 2025 | Faculty: | Sarah Kennedy | 🏫 | 👤 | Credits: | 1 – 6"
ARTH 102,Introduction to Art History II,6 credits,"An introduction to the art and architecture of various geographical areas around the world from the fifteenth century through the present. The course will provide foundational skills (tools of analysis and interpretation) as well as general, historical understanding. It will focus on a select number of major developments in a range of media and cultures, emphasizing the way that works of art function both as aesthetic and material objects and as cultural artifacts and forces. Issues include, for example, humanist and Reformation redefinitions of art in the Italian and Northern Renaissance, realism, modernity and tradition, the tension between self-expression and the art market, and the use of art for political purposes.",Winter 2025,"CX, Cultural/Linguistics | IS, International Studies | LA, Literary/Artistic Analysis",,ARTS ARTH Prior to 1900 | EUST Transnational Supp | MARS Core Course | MARS Supporting | CL: 100 level,"ARTH
                                                 102.00 | Winter 2025 | Faculty: | Mira Xenia Schwerda | 🏫 | 👤 | Size: | 25 | M, W | Boliou 161 | 11:10am-12:20pm | F | Boliou 161 | 12:00pm-1:00pm"
ARTH 160,American Art to 1940,6 credits,Concentration on painting of the colonial period (especially portraiture) and nineteenth century (especially landscape and scenes of everyday life) with an introduction to the modernism of the early twentieth century. The course will include analysis of the ways art shapes and reflects cultural attitudes such as those concerning race and gender.,Winter 2025,"IDS, Intercultural Domestic Studies | LA, Literary/Artistic Analysis",,AFST Pertinent | AMST Survey 1 | ARTH Post-1800 | ARTS ARTH Prior to 1900 | CL: 100 level,"ARTH
                                                 160.00 | Winter 2025 | Faculty: | Baird Jarman | 🏫 | 👤 | Size: | 25 | M, W | Boliou 161 | 9:50am-11:00am | F | Boliou 161 | 9:40am-10:40am"
ARTH 225,The Naked and the Nude: A History,6 credits,"Why did the naked human body become a central subject of Western art? What makes the representation of an unclad body ""beautiful,"" and what makes it ""erotic""? What types of bodies been portrayed in the history of art and what types of bodies have not? Who has been succesful in censoring the nude? Who been less succesful? These questions form the basis of this course which examines the history of the nude from antiquity to the present day.",Winter 2025,"IS, International Studies | LA, Literary/Artistic Analysis",,ARTH Pre-1800 | MARS Core Course | MARS Supporting,"ARTH
                                                 225.00 | Winter 2025 | Faculty: | Jessica Keating | 🏫 | 👤 | Size: | 25 | T, TH | Boliou 161 | 1:15pm-3:00pm"
ARTH 250,The Coded Gaze: AI and Art History,6 credits,"Artificial Intelligence (AI) can support or subvert human intelligence and it affects art and art history already today. This course will connect existing discourses in art history and the history of photography to recent AI questions and themes, demonstrating that many topics, which appear novel, have in fact a long and complex history. We will focus on questions of ethics that affect both AI and art history, including ownership of images, surveillance, and the representation of race and gender, while also exploring possible uses of AI in art history, e.g. the detection of forgeries, and the curation of AI artworks.",Winter 2025,"IS, International Studies | LA, Literary/Artistic Analysis",,CL: 200 level | MEST Supporting Group 2 | DGAH Critand Ethical Reflectn,"ARTH
                                                 250.00 | Winter 2025 | Faculty: | Mira Xenia Schwerda | 🏫 | 👤 | Size: | 25 | M, W | Boliou 161 | 1:50pm-3:00pm | F | Boliou 161 | 2:20pm-3:20pm"
ARTH 341,Art and Democracy,6 credits,"What does it mean to say that a work of art is “democratic?” For whom is art made? And who can lay claim to the title “artist?” These questions animate contemporary art production as artists grapple with the problems of broadening access to their works and making them more socially relevant. In this course we will consider the challenges involved in making art for a sometimes ill-defined “public.” Topics to be discussed include: activist performance art, feminism, public sculpture, the Culture Wars, queer visual culture, and the recent rise of social practice art.Extra time",Winter 2025,"IDS, Intercultural Domestic Studies | LA, Literary/Artistic Analysis",Student has completed any two courses in ARTH with grades of C- or better.,ACE Applied | AMST Democracy Activism | AMST Prdctn Consmptn Cult | AMST Space and Place | ARTS ARTH Post 1900 | EUST Transnational Supp | CL: 300 level,"ARTH
                                                 341.00 | Winter 2025 | Faculty: | Ross Elfline | 🏫 | 👤 | Size: | 15 | T, TH | Boliou 161 | 10:10am-11:55am"
ARTH 400,Integrative Exercise,,"The integrative exercise for the art history major involves an independent research project, on a topic chosen by the student and approved by faculty members, resulting in a substantial essay due late in the winter term. One credit is awarded, usually in the spring term, for a formal presentation that contextualizes the project and summarizes the argument of the essay. The other five credits may be distributed in any fashion over the fall and winter terms. Art History 400 is a continuing course; no grade will be awarded until all six credits are completed.",Winter 2025,,Student is an Art History major and has Senior Priority.,,"ARTH
                                                 400.00 | Winter 2025 | Faculty: | Jessica Keating | 🏫 | 👤 | Size: | 10 | Grading: | S/NC | Credits: | 1 – 6"
ARTS 110,Observational Drawing,6 credits,"A beginning course for non-majors and for those who contemplate majoring in art. The aim of the course is to give the student an appreciation of art and of drawing. An understanding of aesthetic values and development of technical skills are achieved through a series of studio problems which naturally follow one another and deal with the analysis and use of line, shape, volume, space, and tone. A wide range of subjects are used, including still life, landscape and the human figure.Sophomore Priority; Three seats held for Art and Art History majors until the day after junior priority registration.",Winter 2025,"ARP, Arts Practice",,ARTS 2-D Emphasis | CL: 100 level,"ARTS
                                                 110.01 | Winter 2025 | Faculty: | David Lefkowitz | 🏫 | 👤 | Size: | 20 | T, TH | Weitz Center 242 | 9:00am-11:30am | Sophomore Priority; Two seats held for Art and Art History majors until the day after junior priority registration. | Sophomore Priority. || ARTS
                                                 110.02 | Winter 2025 | Faculty: | Jade Hoyer | 🏫 | 👤 | Size: | 20 | M, W | Weitz Center 242 | 8:30am-11:00am | Sophomore Priority;, Two seats held for Art and Art History majors until the day after junior priority registration. | Sophomore Priority."
ARTS 124,Elements of 3D Art and Design,6 credits,"This 3D foundations course will engage students in learning to articulate and dissect the elements of three-dimensional design. Using metal, wire, clay, wood and found objects, students will construct and fabricate three dimensional objects while developing an understanding of visual language and its power to tell a story or convey a message. 3D modeling software will be explored as a way to conceptualize ideas before creating them in physical media. Students will study examples of historical and contemporary artists and designers to provide context for their projects.Sophomore Priority; Three seats held for Art and Art History majors until the day after junior priority registration.",Winter 2025,"ARP, Arts Practice",,ARTS 3-D Emphasis | CL: 100 level,"ARTS
                                                 124.00 | Winter 2025 | Faculty: | Danny Saathoff | 🏫 | 👤 | Size: | 15 | T, TH | Boliou 044 | 1:15pm-3:45pm | Sophomore Priority; Four seats held for Art and Art History majors until the day after junior priority registration. | Sophomore Priority."
ARTS 130,Beginning Ceramics,6 credits,"This course is an introduction to wheel throwing and handbuilding as primary methods of construction for both functional and non-functional ceramic forms. An understanding of ceramic history and technical skills are achieved through studio practice, readings, and demonstrations. Emphasis is placed on the development of strong three-dimensional forms as well as the relationship of form to surface. Coursework includes a variety of firing techniques and development of surface design.Sophomore Priority; Three seats held for Art and Art History majors until the day after junior priority registration.",Winter 2025,"ARP, Arts Practice",,ARTS 3-D Emphasis | CL: 100 level,"ARTS
                                                 130.01 | Winter 2025 | Faculty: | Kelly Connole | 🏫 | 👤 | Size: | 14 | M, W | Boliou 046 | 12:30pm-3:00pm | Sophomore Priority; Four seats held for Art and Art History majors until the day after junior priority registration. | Sophomore Priority. || ARTS
                                                 130.02 | Winter 2025 | Faculty: | Juliane Shibata | 🏫 | 👤 | Size: | 14 | M, W | Boliou 046 | 8:30am-11:00am | Sophomore Priority; Four seats held for Art and Art History majors until the day after junior priority registration. | Sophomore Priority."
ARTS 139,Beginning Photography,6 credits,"In this course students explore photography as a means of understanding and interacting with both the world and the inner self. We will emphasize a balance of technical skills, exploration of personal vision, and development of critical thinking and vocabulary relating to photography. Beginning students will learn how to use analogue and digital cameras, to use basic studio lighting equipment, and to print their own photographic work. Additionally, students will learn to develop a portfolio as an ongoing process that requires informed and critical decision making to assemble a body of work. Collectively we will critique, analyze, give feedback on work, and discuss readings that are pertinent to the production of images in contemporary times.Sophomore Priority; Two seats held for Art and Art History majors until the day after junior priority registration.",Winter 2025,"ARP, Arts Practice",,CL: 100 level,"ARTS
                                                 139.00 | Winter 2025 | Faculty: | Shun Yong | 🏫 | 👤 | Size: | 15 | T, TH | Boliou 130 | 9:00am-11:30am | Sophomore Priority; Four seats held for Art and Art History majors until the first day of sophomore registration. | Sophomore Priority."
ARTS 151,Metalsmithing,6 credits,"A basic course in metal design and fabrication of primarily jewelry forms and functional objects. Specific instruction will be given in developing the skills of forming, joining, and surface enrichment to achieve complex metal pieces. Students will learn to render two-dimensional drawings while exploring three-dimensional design concepts. The course examines how jewelry forms relate to the human body. Found materials will be used in addition to traditional metals including copper, brass, and silver.Sophomore Priority; Three seats held for Art and Art History majors until the day after junior priority registration.",Winter 2025,"ARP, Arts Practice",,ARTS 3-D Emphasis | CL: 100 level,"ARTS
                                                 151.00 | Winter 2025 | Faculty: | Danny Saathoff | 🏫 | 👤 | Size: | 14 | T, TH | Boliou 044 | 9:00am-11:30am | Sophomore Priority; Four seats held for Art and Art History majors until the day after junior priority registration. | Sophomore Priority."
ARTS 212,Studio Art Seminar in the South Pacific: Mixed-Media Drawing,6 credits,"This course involves directed drawing in bound sketchbooks, using a variety of drawing media, and requires ongoing, self-directed drawing in these visual journals. Subjects will include landscape, nature study, figure, and portraits. The course will require some hiking in rugged areas.Participation in CarletonOCS South Pacific Program",Winter 2025,"ARP, Arts Practice",Acceptance in the Studio Art in the South Pacific Program and the student has completed any of the following courses: ARTS 110 – Observational drawing or ARTS 113 – Field Drawing or ARTS 114 – Introduction to Drawing Architecture with a grade of C- or better or equivalent.,"ARTS 2-D Emphasis | ENTS Society, Culture and Policy | CL: 200 level","ARTS
                                                 212.07 | Winter 2025 | Faculty: | Eleanor Jensen | 🏫 | 👤 | Size: | 25"
ARTS 241,"Identity, Community and Photography",6 credits,"In this course, students will explore the power of visual imagery to shape, reflect, and challenge societal perceptions of identity. Emphasizing a balance of technical skills, personal vision, and critical thinking, the course encourages students to develop their own photographic voice. Students will be challenged to question, explore, and express their own identities through photography. Throughout the course, students will apply their technical and critical thinking skills to create a major project centered on their identity. They will be introduced to photographers from around the world who challenge stereotypes and amplify underrepresented voices, offering inspiration and context for their work. Expected preparation: some familiarity with photography or art in general.",Winter 2025,"ARP, Arts Practice",,ARTH Pertinent | ARTS 2-D Emphasis | ARTS Pertinnt | CL: 200 level,"ARTS
                                                 241.00 | Winter 2025 | Faculty: | Shun Yong | 🏫 | 👤 | Size: | 15 | T, TH | Boliou 130 | 1:15pm-3:45pm"
ARTS 260,Painting,6 credits,"The course serves as an introduction to the language of painting. Students develop a facility with the physical tools of painting–brushes, paint and surfaces–as they gain a fluency with the basic formal elements of the discipline–color, form, value, composition and space. Students are also challenged to consider the choices they make in determining the content and ideas expressed in the work, and how to most effectively convey them.3 spots reserved for Studio Art or Art History majors until registration begins for students who have not declared a major.",Winter 2025,"ARP, Arts Practice","Student has completed any of the following course(s): ARTS 110 – Observational Drawing, ARTS 113 – Field Drawing or ARTS 114 – Introduction to Drawing Architecture with grade of C- or better or equivalent.",ARTS 2-D Emphasis | CL: 200 level,"ARTS
                                                 260.00 | Winter 2025 | Faculty: | David Lefkowitz | 🏫 | 👤 | Size: | 16 | T, TH | Boliou 162 | 1:15pm-3:45pm"
ARTS 273,Studio Art Seminar in the South Pacific: Printmaking,6 credits,Intaglio and relief printmaking. Students will receive instruction in all of the processes of intaglio and relief printmaking. Students will explore the possibilities of these forms of printmaking in conjunction with their work in the drawing class.Open only to participants in CarletonOCS South Pacific Program,Winter 2025,"ARP, Arts Practice",Acceptance in the Studio Art in the South Pacific Program and the student has completed any of the following courses: ARTS 110 – Observational drawing or ARTS 113 – Field Drawing or ARTS 114 – Introduction to Drawing Architecture with a grade of C- or better or equivalent.,ARTS 2-D Emphasis | CL: 200 level,"ARTS
                                                 273.07 | Winter 2025 | Faculty: | Eleanor Jensen | 🏫 | 👤 | Size: | 25"
ARTS 275,Studio Art Seminar in the South Pacific: The Physical and Cultural Environment,6 credits,"This is a wide-ranging course that asks students to engage with their surroundings and make broad connections during the South Pacific program. It examines ecological topics, such as natural history, invasive species, conservation efforts, and how the physical landscape has changed since colonialism. Students will also study indigenous people’s history, culture, art, and profound relationship to landscape. This course includes readings, films, local speakers, and diverse site visits.Open only to participants in CarletonOCS South Pacific Program",Winter 2025,"IS, International Studies | SI, Social Inquiry",Acceptance in the Studio Art in the South Pacific Program and the student has completed any of the following courses: ARTS 110 – Observational drawing or ARTS 113 – Field Drawing or ARTS 114 – Introduction to Drawing Architecture with a grade of C- or better or equivalent.,"ENTS Society, Culture and Policy | CL: 200 level","ARTS
                                                 275.07 | Winter 2025 | Faculty: | Eleanor Jensen | 🏫 | 👤 | Size: | 25 | Grading: | S/CR/NC"
ARTS 276,"Design Fundamentals, Zines, and Artistic Publications",6 credits,"This course will discuss principles of graphic design using a Risograph duplicator, a printing technology that operates similarly to both silkscreen printmaking and a copy machine. The Riso is used to create artwork, zines, and other artistic publications. We will examine creative possibilities for this technology, using both analog techniques and digital publishing software including Adobe Photoshop and Indesign to make printed imagery and narrative works like zines and artists books.",Winter 2025,"ARP, Arts Practice","Student has completed any of the following course(s): ARTS 110 – Observational Drawing or equivalent, ARTS 113 – Field Drawing, ARTS 114 – Intro to Drawing Architecture with a grade of C- or better.",ARTS 2-D Emphasis | CL: 200 level | ACE Applied,"ARTS
                                                 276.00 | Winter 2025 | Faculty: | Jade Hoyer | 🏫 | 👤 | Size: | 15 | M, W | Boliou 032 | 12:30pm-3:00pm"
ARTS 291,Independent Study,,"Register for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Winter 2025,No Exploration,,CL: Independent Study,"ARTS
                                                 291.11 | Winter 2025 | Faculty: | Jade Hoyer | 🏫 | 👤 | Grading: | S/CR/NC | Credits: | 1 – 6 || ARTS
                                                 291.12 | Winter 2025 | Faculty: | Jade Hoyer | 🏫 | 👤 | Grading: | S/CR/NC | Credits: | 1 – 6 || ARTS
                                                 291.13 | Winter 2025 | Faculty: | David Lefkowitz | 🏫 | 👤 | Grading: | S/CR/NC | Credits: | 3 || ARTS
                                                 291.14 | Winter 2025 | Faculty: | David Lefkowitz | 🏫 | 👤 | Grading: | S/CR/NC | Credits: | 6 || ARTS
                                                 291.15 | Winter 2025 | Faculty: | Danny Saathoff | 🏫 | 👤 | Grading: | S/CR/NC | Credits: | 3 || ARTS
                                                 291.16 | Winter 2025 | Faculty: | Kelly Connole | 🏫 | 👤 | Grading: | S/CR/NC | Credits: | 3 || ARTS
                                                 291.18 | Winter 2025 | Faculty: | Stephen Mohring | 🏫 | 👤 | Grading: | S/CR/NC | Credits: | 3"
ARTS 391,Independent Study,6 credits,"Register for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Winter 2025,No Exploration,,CL: Independent Study,"ARTS
                                                 391.11 | Winter 2025 | Faculty: | Stephen Mohring | 🏫 | 👤"
ARTS 400,Integrative Exercise,5 credits,"The integrative exercise for the studio arts major consists of an independent research project involving experimentation, reflection, and deep engagement in the production of a cohesive body of artwork. The comps process is designed to give students the opportunity to develop ideas over the course of a term with close advice and support of the studio faculty and fellow students. Class of 2025 the department highly recommends students take five credits of comps fall or winter term of the senior year and one credit in the spring term of the senior year. Class of 2026 will be required to take five credits of comps fall or winter term of the senior year and one credit in the spring term of senior year.Class of 2025, the department highly recommends students take five credits of comps Fall or Winter term of the senior year and one credit the Spring term of the senior year. Class of 2026 will be required to take five credits of comps fall or winter term of the senior year and once credit the spring term of the senior year.",Winter 2025,,Student is a Studio Arts major and has Senior Priority.,,"ARTS
                                                 400.00 | Winter 2025 | Faculty: | Kelly Connole | 🏫 | 👤 | Size: | 25 | Grading: | S/NC"
ASST 400,Integrative Exercise,,,Winter 2025,,Student is an Asian Studies major and has Senior Priority.,,"ASST
                                                 400.00 | Winter 2025 | Faculty: | Amna Khalid | 🏫 | 👤 | Size: | 25 | Grading: | S/NC | Credits: | 1 – 6"
ASTR 110,Introduction to Astronomy & Lab,6 credits,"An introduction to current astronomy with an emphasis on how we know what we know. Topics include the solar system; the life cycles of stars; pulsars, quasars, and black holes; and the history and future fate of the universe. No mathematics background beyond high school algebra and trigonometry is assumed.Extra time for evening observing",Winter 2025,"LS, Science with Lab | QRE, Quantitative Reasoning",,CL: 100 level,"ASTR
                                                 110.00 | Winter 2025 | Faculty: | Andreia Carrillo | 🏫 | 👤 | Size: | 48 | M, W | Olin 141 | 11:10am-12:20pm | F | Olin 141 | 12:00pm-1:00pm"
ASTR 394,Directed Research in Astronomy,1 – 6 credits,"Students work on a research project related to a faculty member's research interests, and directed by that faculty member. Student activities vary according to the field and stage of the project. The long-run goal of these projects normally includes dissemination to a scholarly community beyond Carleton. The faculty member will meet regularly with the student and actively direct the work of the student, who will submit an end-of-term product, typically a paper or presentation.Register for this course by submitting the Directed Research form which requires approval from the project faculty supervisor and your adviser.","Winter 2025,                                                                                                                 Fall 2024,                                                                                                                 Winter 2025,                                                                                                                 Spring 2025",No Exploration,,CL: Faculty Research,"ASTR
                                                 394.11 | Winter 2025 | Faculty: | Andreia Carrillo | 🏫 | 👤 | Grading: | S/CR/NC || ASTR
                                                 394.12 | Winter 2025 | Faculty: | Ryan Terrien | 🏫 | 👤 | Grading: | S/CR/NC"
