Course Subject,Academic Period,Section Listings,Description,Credits,Capacity,Reserved Seats,Reserved Capacity Line,Notes,"Day, Start, & End",Course Tags,Section Status
Archaeology (ARCN),2025 Spring Term,ARCN 112-00 - Native North America,"When did humans first migrate to North America? How long have people lived in Minnesota? This course will examine the material culture of Indigenous peoples throughout the North American continent above Mexico, from c. 20,000 years ago to present. Cultural groups include the Inuit, Iroquois, ancient Puebloans, Cahokia, Great Plains villages, and Pacific Northwest (Kumash) peoples. We will study Indigenous oral histories, genetic data, linguistics, material remains, and ethnohistorical accounts to examine migration, trade, and contact, with an emphasis on decolonization and Indigenous archaeologies.",6,30,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","AMST - American Studies Program :: AMST Race Ethnicty Indign

AMST - American Studies Program :: AMST Space and Place

ARCN - Archaeology Program :: ARCN Pertinent

CL: 100 level

LAR: IDS, Intercultural Domestic Studies

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

MARS - Medieval and Renaissance Studies Program :: MARS Supporting

SOAN - Sociology and Anthropology Program :: SOAN Pertinent",Open
Archaeology (ARCN),2025 Spring Term,ARCN 222-00 - Exper Arch & History & Lab,"This course offers an experiential approach to crafts, technologies, and other material practices in premodern societies. Through hands-on activities and collaborations with local craftspeople, farmers, and other experts, this course will examine and test a variety of hypotheses about how people in the past lived their lives. How did prehistoric people produce stone tools, pottery, and metal? How did ancient Greeks and Romans feed and clothe themselves? How did medieval Europeans build their homes and bury their dead? Students will answer these questions and more by actively participating in a range of experimental archaeology and experiential history projects. Lab required.",6,25,0,,,"F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM

TH | 1:00 PM - 5:00 PM","ARCN - Archaeology Program :: ARCN Pertinent

CL: 200 level

CLAS - Classics Program :: CLAS Civ Archaeologcl Anlys

DGAH - Digital Arts and Humanities Program :: DGAH Cross Disc Collabortn

LAR: Science with Lab Component :: LAR: LS, Science with Lab

MARS - Medieval and Renaissance Studies Program :: MARS Supporting",Open
Art History (ARTH),2025 Spring Term,ARTH 214-00 - Queer Art,"Beyond surveying the rich history of arts by LGBTQA+ individuals, this course takes as its object of study the ways in which the arts have been used to question, undermine, and subvert the gendered and sexual norms of dominant cultures—in short, to queer them. In so doing, such visual and performative practices offer new, alternative models of living and acting in the world based on liberatory politics and aesthetics. This course will consider topics such as: censorship of queer artists; art of the AIDS crisis; activist performance; the sexual politics of public space; and queer intersections of race, class and gender in visual art among others.",6,25,0,,Extra time,"F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM","ARTS - Studio Arts Program :: ARTS ARTH Post 1900

CL: 200 level

GWSS - Gender, Women’s & Sexuality Studies Program :: GWSS Elective

LAR: IDS, Intercultural Domestic Studies

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis",Open
Art History (ARTH),2025 Spring Term,ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,"The Middle East participated in the global revolutionary moment at the turn of the century, when photography and print played a crucial role in the mobilization and memorization of political, social, and cultural change. This course examines a vast range of revolutionary images at the beginning of the twentieth century, their specific contexts, and expressions in the Middle East. The course also investigates the impact of the Digital Turn in Art History and the intricacies of digital exhibitions. The students contribute to a digital exhibition on comparative revolutions hosted by Khamseen: Islamic Art History Online in 2025-26.",6,25,0,,,TTH | 10:10 AM - 11:55 AM,"ARTH - Art History Program :: ARTH Non Western

CL: 200 level

LAR: IS, International Studies

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis",Open
Art History (ARTH),2025 Spring Term,ARTH 257-00 - Modern Art and the Museum in the Middle East,"This course focuses on modern art, the museum, and the politics of display and curation in the Middle East. It will examine the development of modern art in the Middle East and take a closer look at specific modern artists and avantgarde movements, including Osman Hamdi Bey, Kamal al-Mulk, Fahrelnissa Zeid, and the Iranian Saqqakhaneh movement. We will examine the institution of the museum and its history. Furthermore, we will explore how modern Middle Eastern art is presented in the Middle East versus the United States or Europe. The course will include guest lectures by curators.",6,25,0,,,TTH | 1:15 PM - 3:00 PM,"ARTH - Art History Program :: ARTH Non Western

CL: 200 level

LAR: IS, International Studies

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis

MEST - Middle Eastern Studies Program :: MEST Supporting Group 2",Open
Art History (ARTH),2025 Spring Term,ARTH 298-00 - The History of Art History,An intensive study of the nature of art history as an intellectual discipline and of the approaches scholars have taken to various art historical problems. Attention as well to principles of current art historical research and writing. Recommended for juniors who have declared art history as a major or a minor.,6,25,0,,,"F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM","ASST - Asian Studies Program :: ASST Disciplinary

ASST - Asian Studies Program :: ASST Methodology

CL: 200 level

LAR: Literary / Artistic Analysis :: LAR: LA, Literary/Artistic Analysis",Open
Studio Art (ARTS),2025 Spring Term,ARTS 113-01 - Field Drawing,"A beginning drawing course for students who are interested in developing their skills in drawing from nature, to better see and understand their surroundings. Class material covers line, form, dimension, value, perspective, and space using a variety of drawing materials. Subject matter includes specimens, plant forms, and the landscape. Students will use a portable sketchbook, and classes during the second part of the term are primarily outside. Locations include the Arb and field trips; access to these sites does include walking on unpaved paths and uneven terrain.",6,17,17,"13 - reserved for REQ: Sophomore Priority (Condition Rule) until 03/07/2025

4 - reserved for REQ: AAHI Held Spots: ARTS 113 01 (Condition Rule) until 02/28/2025",Sophomore Priority; Four seats held for Art and Art History majors until the day after junior priority registration.,TTH | 9:00 AM - 11:30 AM,"ARTS - Studio Arts Program :: ARTS 2-D Emphasis

CL: 100 level

ENTS - Environmental Studies Program :: ENTS Society, Culture and Policy

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Studio Art (ARTS),2025 Spring Term,ARTS 122-00 - Introduction to Sculpture,"The ability to build structures that reflect or alter the environment is a basic defining characteristic of our species. In this class we explore creative construction in three dimensions using a variety of media, including plaster, wood, and steel. Using both natural and architectural objects for inspiration, we will examine and manipulate form, space, and expressive content to develop a deeper understanding of this core trait and reawaken our experience of the spaces we inhabit.",6,14,14,"10 - reserved for REQ: Sophomore Priority (Condition Rule) until 03/07/2025

4 - reserved for REQ: AAHI Held Spots: ARTS 122 until 02/28/2025",Sophomore Priority; Four seats held for Art and Art History majors until the day after junior priority registration.Extra Time Required for field trip,TTH | 1:15 PM - 3:45 PM,"ARTS - Studio Arts Program :: ARTS 3-D Emphasis

CL: 100 level

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Studio Art (ARTS),2025 Spring Term,ARTS 139-00 - Beginning Photography,"In this course students explore photography as a means of understanding and interacting with both the world and the inner self. We will emphasize a balance of technical skills, exploration of personal vision, and development of critical thinking and vocabulary relating to photography. Beginning students will learn how to use analogue and digital cameras, to use basic studio lighting equipment, and to print their own photographic work. Additionally, students will learn to develop a portfolio as an ongoing process that requires informed and critical decision making to assemble a body of work. Collectively we will critique, analyze, give feedback on work, and discuss readings that are pertinent to the production of images in contemporary times.",6,15,15,"11 - reserved for REQ: Sophomore Priority (Condition Rule) until 03/07/2025

4 - reserved for REQ: AAHI Held Spots: ARTS 139 until 02/28/2025",Sophomore Priority; four seats held for Art and Art History majors until the day after junior priority registration.,MW | 8:30 AM - 11:00 AM,"CL: 100 level

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Studio Art (ARTS),2025 Spring Term,ARTS 230-01 - Ceramics: Throwing,"This course is focused on the creative possibilities of the pottery wheel as a means to create utilitarian objects. Students are challenged to explore conceptual ideas while maintaining a dedication to function. An understanding of aesthetic values and technical skills are achieved through studio practice, readings, and demonstrations. Basic glaze and clay calculations, high fire and wood kiln firing techniques, and a significant civic engagement component, known as the Empty Bowls Project, are included in the course.",6,14,4,4 - reserved for REQ: AAHI Held Spots: ARTS 230 01 until 02/28/2025,Four spots reserved for Studio Art or Art History majors until registration begins for students who have not declared a major.,MW | 12:30 PM - 3:00 PM,"ACE Applied

ARTS - Studio Arts Program :: ARTS 3-D Emphasis

CL: 200 level

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Studio Art (ARTS),2025 Spring Term,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,"This course focuses on lost wax casting, 3D modeling and printing, and stone setting as methods to create jewelry and small sculptural objects in bronze and silver. Specific instruction will be given in the proper use of tools, torches, and other equipment, wax carving, and general metalsmithing techniques. Through the use of 3D modeling software and 3D printing, new technologies will expedite traditional processes allowing for a broad range of metalworking possibilities. Previous experience with metalsmithing is not required but may be helpful.",6,14,4,4 - reserved for REQ: AAHI Held Spots: ARTS 252 until 02/28/2025,Four spots reserved for Studio Art or Art History majors until registration begins for students who have not declared a major.,TTH | 9:00 AM - 11:30 AM,"ARTS - Studio Arts Program :: ARTS 3-D Emphasis

CL: 200 level

DGAH - Digital Arts and Humanities Program :: DGAH Cross Disc Collabortn

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Studio Art (ARTS),2025 Spring Term,ARTS 262-00 - Watercolor,"This course provides an introduction to the medium of watercolor painting and gouache (opaque water-based paint) on paper surfaces. Students will develop an understanding of basic color interactions and a wide spectrum of paint application strategies from meticulous refined brushwork to fluid, expressive markmaking.",6,16,4,4 - reserved for REQ: AAHI Held Spots: ARTS 262 until 02/28/2025,Four spots reserved for Studio Art or Art History majors until registration begins for students who have not declared a major.,MW | 12:30 PM - 3:00 PM,"ARTS - Studio Arts Program :: ARTS 2-D Emphasis

ARTS - Studio Arts Program :: ARTS Pertinnt

CL: 200 level

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Studio Art (ARTS),2025 Spring Term,ARTS 322-00 - Sculpture 2: Form & Context,"In this intimate and nimble seminar, we will continue our exploration of the many wonders of sculpture, further developing our previous studio-based investigations. During several short and two prolonged problem-based assignments we will work to develop our personal voice and a more nuanced material expression in our art.  We’ll be introducing interior and exterior site-specific installation, casting, advanced woodworking and welding techniques, as well as the potential for interactive robotics and digital media, to the range of possibilities. In Arts 322 you are free to explore the processes that most intrigue you--no specific material or sculptural format will be required.",6,14,4,4 - reserved for REQ: AAHI Held Spots: ARTS 322 until 02/28/2025,4 spots reserved for Studio Art or Art History majors until registration begins for students who have not declared a major. Extra Time Required,TTH | 9:00 AM - 11:30 AM,"ARTS - Studio Arts Program :: ARTS 3-D Emphasis

CL: 300 level

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Studio Art (ARTS),2025 Spring Term,ARTS 339-00 - Advanced Photography,"In this course students explore photography as a means of understanding and interacting with both the world and the inner self. We will emphasize a balance of technical skills, exploration of personal vision, and development of critical thinking and vocabulary relating to photography. Advanced students will focus on developing a concise body of work independently through two self-directed longer projects. Instruction includes: use of large format cameras with a hand meter, film scanning, and strobe lighting. Students will learn to develop a portfolio as an ongoing process that requires informed and critical decision making to assemble a body of work. Collectively we will critique, analyze, give feedback on work and discuss readings that are pertinent to the production of images in contemporary times.",6,15,4,4 - reserved for REQ: AAHI Held Spots: ARTS 339 until 02/28/2025,Four spots reserved for Studio Art or Art History majors until registration begins for students who have not declared a major.,MW | 12:30 PM - 3:00 PM,"ARTS - Studio Arts Program :: ARTS 2-D Emphasis

CAMS - Cinema and Media Studies Program :: CAMS Extra Departmental

CL: 300 level

DGAH - Digital Arts and Humanities Program :: DGAH Critand Ethical Reflectn

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Studio Art (ARTS),2025 Spring Term,ARTS 374-00 - Advanced Printmaking,"This course builds upon student’s prior introductory coursework in any printmaking media (Silkscreen, Relief, Intaglio, Risography, or Lithography). We will engage in further technical study in printmaking as well as pursue conceptual engagement in theory and readings relevant to the field. This course will emphasize student-directed learning and the integration of concept and media.",6,15,0,,,TTH | 9:00 AM - 11:30 AM,"ARTS - Studio Arts Program :: ARTS 2-D Emphasis

CL: 300 level

LAR: Arts Practice :: LAR: ARP, Arts Practice",Open
Asian Languages & Literatures (ASLN),2025 Spring Term,ASLN 111-00 - Writing Systems,"The structure and function of writing systems, with emphasis on a comparison of East Asian writing systems (Chinese, Japanese, Korean) to Western alphabetic systems. Topics covered include classification of writing systems, historical development, diffusion and borrowing of writing systems, and comparison with non-writing symbol systems.",6,30,0,,,"F | 2:20 PM - 3:20 PM

MW | 1:50 PM - 3:00 PM","ASST - Asian Studies Program :: ASST East Asia

ASST - Asian Studies Program :: ASST Social Science

CCST - Cross-Cultural Studies Program :: CCST Encounters

CL: 100 level

EAST - East Asian Studies Program :: EAST Supporting

LAR: CX, Cultural/Linguistics

LAR:  Social Inquiry :: LAR: SI, Social Inquiry

LING - Linguistics Program :: LING Elective",Open
Asian Studies (ASST),2025 Spring Term,ASST 110-00 - Elementary Hindi/Urdu,"This course will introduce students to basic spoken and written Hindi and Urdu, languages spoken widely across India and Pakistan. The course will teach speaking, listening, reading and writing skills as these are used in everyday social and cultural situations. While in elementary spoken form Hindi and Urdu are almost indistinguishable, they are written in two distinct scripts, both of which students will learn.",6,16,0,,"Students who have studied Hindi language on the Off-Campus Program ""India: Globalization and Local Responses"" are not eligible to enroll in this course.","F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM","CL: 100 level

LAR: No Exploration",Open
Asian Studies (ASST),2025 Spring Term,"ASST 285-00 - Mapping Japan, Real & Imagined","From ancient to present times, Japan drew and redrew its borders, shape, and culture, imagining its place in this world and beyond, its cultural and racial identity. This course is a cartographic exploration of this complex and contested history. Cosmological mandalas, hell images, travel brochures, and military maps bring to light the imagined Japan—its religious vision, cartographic imagination, and political ambition—that dictated its geopolitical expansion abroad and the displacement of minority peoples “at home.” We will use a variety of textual and visual materials, including those in Carleton’s Rare Book and Map Collections.",6,25,0,,,TTH | 1:15 PM - 3:00 PM,"ASST - Asian Studies Program :: ASST East Asia

ASST - Asian Studies Program :: ASST Humanities

CL: 200 level

DGAH - Digital Arts and Humanities Program :: DGAH Cross Disc Collabortn

EAST - East Asian Studies Program :: EAST Supporting

LAR: Humanistic Inquiry :: LAR: HI, Humanistic Inquiry

LAR: IS, International Studies

LAR: WR2 Writing Requirement 2

RELG - Religion Program :: RELG Pertinent Course

RELG - Religion Program :: RELG XDept Pertinent",Open
Astronomy (ASTR),2025 Spring Term,ASTR 233-00 - Astrophysics II,"A study of galactic and extragalactic astronomy with an emphasis on the physical principles underlying the observed phenomena. Topics include the structure and dynamics of the Milky Way Galaxy and other galaxies, the interstellar medium, quasars and active galaxies, clusters and superclusters, and cosmology.",6,18,0,,,"F | 2:20 PM - 3:20 PM

MW | 1:50 PM - 3:00 PM","CL: 200 level

LAR: No Exploration

LAR: QRE, Quantitative Reasoning",Open
Biochemistry (BIOC),2025 Spring Term,BIOC 331-00 - Current Topics in Biochemistry,"An examination of one or more topics of current research interest in biochemistry, focused on reading, interpreting, and understanding the scientific literature. Specific topics vary from year to year but are chosen to illustrate the power of biochemical approaches to address important scientific questions. The bulk of the course will be spent in the close reading and discussion of recent research literature.",6,20,0,,,TTH | 10:10 AM - 11:55 AM,"BIOC - Biochemistry Program :: BIOC Core

CL: 300 level

LAR: No Exploration",Open
Biology (BIOL),2025 Spring Term,"BIOL 125-52 - Genes, Evolution & Development (Genes, Evolution, and Development and Lab)","Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization, including genetics, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes. The active learning format of this course allows time in class to apply new concepts with faculty present. Students enter Carleton from a wide variety of academic experiences and our introductory courses are designed to provide a level playing field for students regardless of previous science background.",6,20,20,"18 - reserved for REQ: Sophomore Priority (Condition Rule) until 03/07/2025

2 - reserved for REQ: Junior or Senior Priority (Condition Rule) until 02/28/2025",Sophomore Priority; Two seats held for Juniors and Seniors until the first day of sophomore registration.,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM

T | 1:00 PM - 5:00 PM","BIOC - Biochemistry Program :: BIOC Core

CL: 100 level

LAR: QRE, Quantitative Reasoning

LAR: Science with Lab Component :: LAR: LS, Science with Lab

NEUR -  Neuroscience Program :: NEUR Core",Open
Biology (BIOL),2025 Spring Term,BIOL 126-52 - Energy Flow in Biological Systems and Lab,"Emphasizes the role of energy flow (acquiring, storing, and using energy) in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization, including structure/function of proteins and enzymes, transport of molecules within biological systems, and links between organismal physiology and ecosystem function. The active learning format of this course allows time in class to apply new concepts with faculty present. Students enter Carleton from a wide variety of academic experiences and our introductory courses are designed to provide a level playing field for students regardless of previous science background.",6,20,20,"18 - reserved for REQ: Sophomore Priority (Condition Rule) until 03/07/2025

2 - reserved for REQ: Junior or Senior Priority (Condition Rule) until 02/28/2025",Sophomore Priority; Two seats held for Juniors and Seniors until the first day of sophomore registration.,"F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM

T | 1:00 PM - 5:00 PM","BIOC - Biochemistry Program :: BIOC Core

CL: 100 level

ENTS - Environmental Studies Program :: ENTS Introductory

LAR: QRE, Quantitative Reasoning

LAR: Science with Lab Component :: LAR: LS, Science with Lab",Open
Biology (BIOL),2025 Spring Term,BIOL 240-00 - Genetics,"A study of the transmission of genetic information between generations of organisms, and of the mechanism of expression of information within an individual organism. The main emphasis will be on the physical and chemical basis of heredity; mutational, transmissional and functional analysis of the genetic material, and gene expression.",6,32,32,32 - reserved for REQ: Sophomore Priority (Condition Rule) until 03/07/2025,"Requires concurrent registration in Biology 241
Spring Term Sophomore Priority","F | 1:10 PM - 2:10 PM

MW | 12:30 PM - 1:40 PM","BIOL - Biology Program :: BIOL Elective

BIOL - Biology Program :: BIOL Molecular and Cell Biology

CL: 200 level

LAR: No Exploration

LAR: QRE, Quantitative Reasoning

NEUR -  Neuroscience Program :: NEUR Elective

PPOL -  Public Policy Program :: PPOL Public Health",Open
Biology (BIOL),2025 Spring Term,BIOL 352-00 - Population Ecology,"An investigation of the properties of populations and communities. Topics include population growth and regulation, life tables, interspecific and intraspecific competition, predation, parasitism, mutualism, the nature of communities, and biogeography. Expected preparation: previous experience with calculus is necessary, but no specific course is required. Statistics 120 or equivalent exposure to statistical analysis is recommended.",6,20,0,,"Requires concurrent registration in BIOL 353.
Recommended course: Statistics 120 or equivalent exposure to statistical analysis","F | 12:00 PM - 1:00 PM

MW | 11:10 AM - 12:20 PM","BIOL - Biology Program :: BIOL Ecology and Evolutionary

BIOL - Biology Program :: BIOL Elective

CL: 300 level

ENTS - Environmental Studies Program :: ENTS Environmenal Science

LAR: QRE, Quantitative Reasoning

LAR: Science with Lab Component :: LAR: LS, Science with Lab

STAT - Statistics Program :: SDSC XDept Elective",Open
Biology (BIOL),2025 Spring Term,BIOL 370-00 - Seminar: Slct Tpcs in Virology,"An examination of selected animal viruses. The course will focus on the most recent developments in HIV-related research, including implications for HIV-treatment and vaccines and the impact of viral infection on the immune system of the host. In addition to studying the structure and replication of particular viruses we will also discuss the current laboratory techniques used in viral research.",6,15,0,,,"F | 9:40 AM - 10:40 AM

MW | 9:50 AM - 11:00 AM","BIOC - Biochemistry Program :: BIOC Elective

BIOL - Biology Program :: BIOL Data Interpretation

BIOL - Biology Program :: BIOL Elective

CL: 300 level

LAR: No Exploration

LAR: QRE, Quantitative Reasoning

PPOL -  Public Policy Program :: PPOL Public Health",Open
