Course Number,Course Title,Credits,Description,Offered,Liberal Arts Requirements,Prerequisites,Tags,Sections
ARBC 101,Elementary Arabic,6 credits,"This is the first course in the Elementary Arabic sequence. This sequence introduces non-Arabic speakers to the sounds, script, and basic grammar of Arabic-the language of 200 million speakers in the Arab world and the liturgical language of over a billion Muslims. Students will develop basic listening, speaking, reading and writing skills in Modern Standard Arabic. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music.",Fall 2024,No Exploration,Not open to students whose previous Arabic language experience exceeds the requirements of ARBC 101,MEST Pertinent | MEST Pertinent | CL: 100 level,"ARBC
                                                 101.00 | Fall 2024 | Faculty: | Zaki Haidar | 🏫 | 👤 | Size: | 20 | M, W | Language & Dining Center 244 | 9:50am-11:00am | T, TH | Language & Dining Center 244 | 9:30am-10:35am | F | Language & Dining Center 244 | 9:40am-10:40am"
ARBC 204,Intermediate Arabic,6 credits,"In this course sequence students will continue to develop their reading, writing, listening and speaking skills, while building a solid foundation of Arabic grammar (morphology and syntax). Students will develop their ability to express ideas in Modern Standard Arabic by writing essays and preparing oral presentations. Classes will incorporate readings and audio-visual material from contemporary Arabic media, as well as popular music.",Fall 2024,No Exploration,Student has completed any of the following course(s): ARBC 103 – Elementary Arabic with a grade of C- or better or equivalent.,MEST Pertinent | MEST Pertinent | CL: 200 level,"ARBC
                                                 204.00 | Fall 2024 | Faculty: | Yaron Klein | 🏫 | 👤 | Size: | 16 | M, W | Language & Dining Center 205 | 11:10am-12:20pm | T, TH | Language & Dining Center 205 | 10:45am-11:50am | F | Language & Dining Center 205 | 12:00pm-1:00pm"
ARCN 246,Archaeological Methods & Lab,6 credits,"As a field that is truly interdisciplinary, archaeology uses a wide range of methods to study the past. This course provides a hands-on introduction to the entire archaeological process through classroom, field, and laboratory components. Students will participate in background research concerning local places of historical or archaeological interest; landscape surveying and mapping in GIS; excavation; the recording, analysis, and interpretation of artifacts; and the publication of results. This course involves real archaeological fieldwork, and students will have an opportunity to contribute to the history of the local community while learning archaeological methods applicable all over the world.Sophomore priority",Fall 2024,"LS, Science with Lab | QRE, Quantitative Reasoning",,ACE Applied | ARCN Pertinent | DGAH Skill Building | MARS Core Course | MARS Supporting | SOAN Pertinent | SDSC XDept Elective | CL: 200 level,"ARCN
                                                 246.01 | Fall 2024 | Faculty: | Sarah Kennedy | 🏫 | 👤 | Size: | 12 | T | Anderson Hall 121 | 10:10am-11:55am | T | Anderson Hall 121 | 1:00pm-5:00pm | T | Anderson Hall 122 | 10:10am-11:55am | T | Anderson Hall 122 | 1:00pm-5:00pm | TH | Anderson Hall 121 | 1:15pm-3:00pm | TH | Anderson Hall 122 | 1:15pm-3:00pm | Sophomore Priority. || ARCN
                                                 246.02 | Fall 2024 | Faculty: | Sarah Kennedy | 🏫 | 👤 | Size: | 12 | T | Anderson Hall 121 | 10:10am-11:55am | T | Anderson Hall 122 | 10:10am-11:55am | TH | Anderson Hall 121 | 8:00am-12:00pm | TH | Anderson Hall 121 | 1:15pm-3:00pm | TH | Anderson Hall 122 | 8:00am-12:00pm | TH | Anderson Hall 122 | 1:15pm-3:00pm | Sophomore Priority."
ARCN 392,Independent Research,,"Register for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Fall 2024,No Exploration,,CL: Independent Study,"ARCN
                                                 392.11 | Fall 2024 | Faculty: | Sarah Kennedy | 🏫 | 👤 | Credits: | 1 – 6 || ARCN
                                                 392.12 | Fall 2024 | Faculty: | Sarah Kennedy | 🏫 | 👤 | Credits: | 2"
ARTH 100.01,Art and Culture in the Gilded Age,6 credits,"Staggering wealth inequality spurred by transformative technological innovation and unbridled corporate power. Political tumult fueled by backsliding civil rights legislation, disputed elections, and anti-immigrant sentiment. Culture wars. American imperialism. Such characteristics have increasingly fueled comparisons between the present day and the late-nineteenth century in the United States. The Gilded Age witnessed the flourishing of mass culture alongside the founding of many elite cultural organizations—museums, symphony halls, libraries—that still stand as preeminent civic institutions. With an occasional eye to the present, this seminar examines the art, architecture, and cultural history of the Gilded Age.Held for new first year students",Fall 2024,"AI/WR1, Argument & Inquiry/WR1",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,CL: 100 level,"ARTH
                                                 100.01 | Fall 2024 | Faculty: | Baird Jarman | 🏫 | 👤 | Size: | 15 | M, W | Boliou 161 | 1:50pm-3:00pm | F | Boliou 161 | 2:20pm-3:20pm"
ARTH 100.02,"Witches, Monsters and Demons",6 credits,"Between 1300 and 1600 depictions of witches, monsters, and demons moved from the margins of medieval manuscripts and the nooks of church architecture to the center of altarpieces and heart of princely collections. Although this diabolical imagery was extremely diverse, it came from one place: the mind of the Renaissance artist. This course examines how images that came from within were devised and fashioned into works of art. It considers why fantastical imagery that showcased the artist’s imagination was so highly valued during the Renaissance–a period typically associated with the rebirth of classical antiquity. Finally, it explores the connection between illusions, visions, dreams, and other visual phenomena that highlighted the potential malfunction of the mind, and artistic creation. Some of the artists discussed include, but are not limited to, Hieronymus Bosch, Michelangelo, and Leonardo da Vinci.Held for new first year students",Fall 2024,"AI/WR1, Argument & Inquiry/WR1 | IS, International Studies",Student is a member of the First Year First Term class level cohort. Students are only allowed to register for one A&I course at a time. If a student wishes to change the A&I course they are enrolled in they must DROP the enrolled course and then ADD the new course. Please see our Workday guides Drop or 'Late' Drop a Course and Register or Waitlist for a Course Directly from the Course Listing for more information.,CL: 100 level | MARS Core Course | MARS Supporting,"ARTH
                                                 100.02 | Fall 2024 | Faculty: | Jessica Keating | 🏫 | 👤 | Size: | 15 | M, W | Boliou 140 | 1:50pm-3:00pm | F | Boliou 140 | 2:20pm-3:20pm"
ARTH 101,Introduction to Art History I,6 credits,"An introduction to the art and architecture of various geographical areas around the world from antiquity through the “Middle Ages.” The course will provide foundational skills (tools of analysis and interpretation) as well as general, historical understanding. It will focus on a select number of major developments in a range of media and cultures, emphasizing the way that works of art function both as aesthetic and material objects and as cultural artifacts and forces. Issues include, for example, sacred spaces, images of the gods, imperial portraiture, and domestic decoration.",Fall 2024,"CX, Cultural/Linguistics | IS, International Studies | LA, Literary/Artistic Analysis",,ARCN Pertinent | ARTS ARTH Prior to 1900 | EUST Transnational Supp | MARS Core Course | MARS Supporting | CL: 100 level,"ARTH
                                                 101.00 | Fall 2024 | Faculty: | Jessica Keating | 🏫 | 👤 | Size: | 30 | M, W | Boliou 161 | 11:10am-12:20pm | F | Boliou 161 | 12:00pm-1:00pm"
ARTH 172,Modern Art: 1890-1945,6 credits,"This course explores developments in the visual arts, architecture, and theory in Europe and America between 1890 and 1945. The major Modernist artists and movements that sought to revolutionize vision, culture, and experience, from Symbolism to Surrealism, will be considered. The impact of World War I, the Great Depression, and the rise of fascism will be examined as well for their devastation of the Modernist dream of social-cultural renewal. Lectures will be integrated with discussions of artists’ theoretical writings and group manifestoes, such as those of the Futurists, Dadaists, Surrealists, Constructivists, and DeStijl, in addition to select secondary readings.",Fall 2024,"IS, International Studies | LA, Literary/Artistic Analysis",,ARTH Post-1800 | ARTS ARTH Post 1900 | CAMS Extra Departmental | EUST Transnational Supp | FFST History and Art History | FREN Pertinent | CL: 100 level,"ARTH
                                                 172.00 | Fall 2024 | Faculty: | Vanessa Reubendale | 🏫 | Size: | 30 | T, TH | Boliou 104 | 1:15pm-3:00pm"
ARTH 215,Cross-Cultural Psychology in Prague: Czech Art and Architecture,4 credits,"This course will examine key developments in Czech visual art and architecture from the early medieval to the contemporary periods. Slide-based lectures will be supplemented by visits to representative monuments, art collections, and museums in Prague.",Fall 2024,"IS, International Studies | LA, Literary/Artistic Analysis",Acceptance in Cross-Cultural Studies in Prague Program and student has completed any of the following course(s): PSYC 110 – Principles of Psychology with a grade of C- or better.,CL: 200 level,"ARTH
                                                 215.07 | Fall 2024 | Faculty: | Ken Abrams | 🏫 | 👤 | Size: | 25 | Grading: | S/CR/NC"
ARTH 240,Art Since 1945,6 credits,"Art from abstract expressionism to the present, with particular focus on issues such as the modernist artist-hero; the emergence of alternative or non-traditional media; the influence of the women’s movement and the gay/lesbian liberation movement on contemporary art; and postmodern theory and practice.",Fall 2024,"IDS, Intercultural Domestic Studies | LA, Literary/Artistic Analysis | WR2 Writing Requirement 2",Student has completed any of the following course(s): One Art History (ARTH) course with a grade of C- better.,AMST America in the World | AMST Prdctn Consmptn Cult | AMST Space and Place | ARTH Post-1800 | ARTS ARTH Post 1900 | CAMS Extra Departmental | EUST Transnational Supp | GWSS Elective | CL: 200 level,"ARTH
                                                 240.00 | Fall 2024 | Faculty: | Vanessa Reubendale | 🏫 | Size: | 25 | T, TH | Boliou 161 | 10:10am-11:55am"
ARTH 288,Curatorial Practicum,6 credits,"This course explores the evolution of the museum from the Enlightenment to the present day. It questions the role of the curator and of audiences, strategies for building public collections, the repatriation of objects, and codes of display in museums of all types. Theoretical readings and discussion-based formats are complemented by practical experience. Students will help organize an exhibition about art and math which will be on view at the Perlman Teaching Museum in winter 2026. The course will coincide with a conference on art and math organized by the Museum and the Mathematics and Statistics department in October 2024.",Fall 2024,"LA, Literary/Artistic Analysis",Student has completed any of the following course(s): One Art History (ARTH) course with a grade of C- better.,ARTH Pertinent | ARTS ARTH Post 1900 | CL: 200 level,"ARTH
                                                 288.00 | Fall 2024 | Faculty: | Sara Cluggish | 🏫 | 👤 | Size: | 12 | T, TH | Weitz Center 233 | 3:10pm-4:55pm"
ARTH 400,Integrative Exercise,,"The integrative exercise for the art history major involves an independent research project, on a topic chosen by the student and approved by faculty members, resulting in a substantial essay due late in the winter term. One credit is awarded, usually in the spring term, for a formal presentation that contextualizes the project and summarizes the argument of the essay. The other five credits may be distributed in any fashion over the fall and winter terms. Art History 400 is a continuing course; no grade will be awarded until all six credits are completed.",Fall 2024,,Student is an Art History major and has Senior Priority.,,"ARTH
                                                 400.00 | Fall 2024 | Faculty: | Jessica Keating | 🏫 | 👤 | Size: | 10 | Grading: | S/NC | Credits: | 1 – 6"
ARTS 110,Observational Drawing,6 credits,"A beginning course for non-majors and for those who contemplate majoring in art. The aim of the course is to give the student an appreciation of art and of drawing. An understanding of aesthetic values and development of technical skills are achieved through a series of studio problems which naturally follow one another and deal with the analysis and use of line, shape, volume, space, and tone. A wide range of subjects are used, including still life, landscape and the human figure.Sophomore Priority; Three seats held for Art and Art History majors until the day after junior priority registration.",Fall 2024,"ARP, Arts Practice",,ARTS 2-D Emphasis | CL: 100 level,"ARTS
                                                 110.00 | Fall 2024 | Faculty: | David Lefkowitz | 🏫 | 👤 | Size: | 20 | M, W | Weitz Center 242 | 8:30am-11:00am | Sophomore Priority; Three seats held for Art and Art History majors until the first day of sophomore registration. | Sophomore Priority."
ARTS 113,Field Drawing,6 credits,"A beginning drawing course for students who are interested in developing their skills in drawing from nature, to better see and understand their surroundings. Class material covers line, form, dimension, value, perspective, and space using a variety of drawing materials. Subject matter includes specimens, plant forms, and the landscape. Students will use a portable sketchbook, and classes during the second part of the term are primarily outside. Locations include the Arb and field trips; access to these sites does include walking on unpaved paths and uneven terrain.Sophomore Priority;Two seats held for Art and Art History majors until the day after junior priority registration.",Fall 2024,"ARP, Arts Practice",,"ARTS 2-D Emphasis | ENTS Society, Culture and Policy | CL: 100 level","ARTS
                                                 113.00 | Fall 2024 | Faculty: | Eleanor Jensen | 🏫 | 👤 | Size: | 17 | T, TH | Weitz Center 242 | 1:15pm-3:45pm | Sophomore Priority; Three seats held for Art and Art History majors until the first day of sophomore registration. | Sophomore Priority."
ARTS 122,Introduction to Sculpture,6 credits,"The ability to build structures that reflect or alter the environment is a basic defining characteristic of our species. In this class we explore creative construction in three dimensions using a variety of media, including plaster, wood, and steel. Using both natural and architectural objects for inspiration, we will examine and manipulate form, space, and expressive content to develop a deeper understanding of this core trait and reawaken our experience of the spaces we inhabit.Sophomore Priority; Three seats held for Art and Art History majors until the first day of sophomore registration.Extra Time Required for field trip",Fall 2024,"ARP, Arts Practice",,ARTS 3-D Emphasis | CL: 100 level,"ARTS
                                                 122.00 | Fall 2024 | Faculty: | Stephen Mohring | 🏫 | 👤 | Size: | 14 | T, TH | Boliou 020 | 9:00am-11:30am | Sophomore Priority; Three seats held for Art and Art History majors until the first day of sophomore registration. | Extra Time Required for field trip | Sophomore Priority."
ARTS 139,Beginning Photography,6 credits,"In this course students explore photography as a means of understanding and interacting with both the world and the inner self. We will emphasize a balance of technical skills, exploration of personal vision, and development of critical thinking and vocabulary relating to photography. Beginning students will learn how to use analogue and digital cameras, to use basic studio lighting equipment, and to print their own photographic work. Additionally, students will learn to develop a portfolio as an ongoing process that requires informed and critical decision making to assemble a body of work. Collectively we will critique, analyze, give feedback on work, and discuss readings that are pertinent to the production of images in contemporary times.Sophomore Priority; Two seats held for Art and Art History majors until the day after junior priority registration.",Fall 2024,"ARP, Arts Practice",,CL: 100 level,"ARTS
                                                 139.00 | Fall 2024 | Faculty: | Shun Yong | 🏫 | 👤 | Size: | 15 | T, TH | Boliou 130 | 1:15pm-3:45pm | Sophomore Priority; Three seats held for Art and Art History majors until the first day of sophomore registration. | Sophomore Priority."
ARTS 142,The Book as Art Object,6 credits,"With books we understand, in a contained object, specific qualities that an author conveys through composition, sequence, and information in an art form. Students will balance the cultivation of technical skills with exploration of personal vision in the creation and conceptualization of a series of books taking into consideration the diverse students’ disciplines. The class incorporates both digital and analog book technologies. We will analyze an array of publications from classical to contemporary artist book, the journal, the fanzine, the comic book, the pulp, and the pamphlet. We will pay special attention to the conceptual space of the book, sequencing and layout of images, production, materials and distribution of books. Topics include the discussion of the decline and resurgence of the physical book, the poetics of the books, the book as metaphor, the conceptual space of the book, and books as narrative and non-narrative sequences.Sophomore Priority, Two seats held for Art and Art History majors until the day after junior priority registration.",Fall 2024,"ARP, Arts Practice",,CL: 100 level,"ARTS
                                                 142.00 | Fall 2024 | Faculty: | Shun Yong | 🏫 | 👤 | Size: | 15 | M, W | Boliou 130 | 12:30pm-3:00pm | Sophomore Priority; Three seats held for Art and Art History majors until the first day of sophomore registration. | Sophomore Priority."
ARTS 151,Metalsmithing,6 credits,"A basic course in metal design and fabrication of primarily jewelry forms and functional objects. Specific instruction will be given in developing the skills of forming, joining, and surface enrichment to achieve complex metal pieces. Students will learn to render two-dimensional drawings while exploring three-dimensional design concepts. The course examines how jewelry forms relate to the human body. Found materials will be used in addition to traditional metals including copper, brass, and silver.Sophomore Priority; Three seats held for Art and Art History majors until the day after junior priority registration.",Fall 2024,"ARP, Arts Practice",,ARTS 3-D Emphasis | CL: 100 level,"ARTS
                                                 151.00 | Fall 2024 | Faculty: | Danny Saathoff | 🏫 | 👤 | Size: | 14 | T, TH | Boliou 044 | 9:00am-11:30am | Sophomore Priority; Three seats held for Art and Art History majors until the first day of sophomore registration. | Sophomore Priority."
ARTS 260,Painting,6 credits,"The course serves as an introduction to the language of painting. Students develop a facility with the physical tools of painting–brushes, paint and surfaces–as they gain a fluency with the basic formal elements of the discipline–color, form, value, composition and space. Students are also challenged to consider the choices they make in determining the content and ideas expressed in the work, and how to most effectively convey them.3 spots reserved for Studio Art or Art History majors until registration begins for students who have not declared a major.",Fall 2024,"ARP, Arts Practice","Student has completed any of the following course(s): ARTS 110 – Observational Drawing, ARTS 113 – Field Drawing or ARTS 114 – Introduction to Drawing Architecture with grade of C- or better or equivalent.",ARTS 2-D Emphasis | CL: 200 level,"ARTS
                                                 260.00 | Fall 2024 | Faculty: | David Lefkowitz | 🏫 | 👤 | Size: | 16 | M, W | Boliou 162 | 12:30pm-3:00pm"
ARTS 274,Silkscreen Printmaking,6 credits,"This course will introduce the basics of silkscreen, an art technique used to create everything from t-shirts and band posters to fine art. We will engage with different aspects of this artistic process to generate imagery, including color mixing, layering, combining analogue and digital output, as well as contextualize the historic and contemporary tradition of this art form. This course will emphasize creativity, artistic growth, and technical skill development.Three seats held for Art and Art History majors until the first day of sophomore registration.",Fall 2024,"ARP, Arts Practice","Student has completed any of the following course(s): ARTS 110 – Observational Drawing or equivalent, ARTS 113 – Field Drawing, ARTS 114 – Intro to Drawing Architecture with a grade of C- or better.",ARTS 2-D Emphasis | CL: 200 level,"ARTS
                                                 274.00 | Fall 2024 | Faculty: | Jade Hoyer | 🏫 | 👤 | Size: | 15 | T, TH | Boliou 032 | 1:15pm-3:45pm"
ARTS 291,Independent Study,1 – 6 credits,"Register for this course by submitting theIndependentReading/Study/ResearchForm, which requires approval from the project faculty supervisor.",Fall 2024,No Exploration,,CL: Independent Study,"ARTS
                                                 291.11 | Fall 2024 | Faculty: | Danny Saathoff | 🏫 | 👤 | Credits: | 6 || ARTS
                                                 291.12 | Fall 2024 | Faculty: | Kelly Connole | 🏫 | 👤 | Credits: | 6 || ARTS
                                                 291.13 | Fall 2024 | Faculty: | David Lefkowitz | 🏫 | 👤 | Credits: | 3 || ARTS
                                                 291.14 | Fall 2024 | Faculty: | Stephen Mohring | 🏫 | 👤 | Credits: | 1 || ARTS
                                                 291.15 | Fall 2024 | Faculty: | David Lefkowitz | 🏫 | 👤 | Credits: | 2 || ARTS
                                                 291.16 | Fall 2024 | Faculty: | David Lefkowitz | 🏫 | 👤 | Credits: | 1"
