Course Number,Course Title,Credits,Description,Offered Term,Liberal Arts Requirements,Tags,Prerequisites,Faculty,Meeting Day,Location,Time,Unnamed: 12
ARBC 371,Readings in Premodern Arabic Science,3 credits,"It is difficult to overstate Arab scientists’ contribution to science. A translation movement from Greek, Persian and Sanskrit into Arabic initiated in the eighth century, led to centuries of innovative scientific investigation, during which Arab scientists reshaped science in a variety of disciplines: from mathematics to astronomy, physics, optics and medicine. Many of their works entered Latin and the European curriculum during the Renaissance. In this reading course we will explore some of the achievements and thought processes in premodern Arabic scientific literature by reading selections from several seminal works. We will examine these in the cultural contexts in which they emerged and to which they contributed, and reflect on modern Western perceptions of this intellectual project. Readings and class discussions will be in both Arabic and English.",Spring 2025,"IS, International Studies, LA, Literary/Artistic Analysis","MEST Pertinent, MEST Pertinent, CL: 300 level",Student has completed any of the following course(s):ARBC 206– Arabic in Cultural Context or equivalent with a grade of C- or better.,Yaron Klein,"M, W",Weitz Center 231,1:50pm-3:00pm,
ARCN 112,Archaeology of Native North America,6 credits,"When did humans first migrate to North America? How long have people lived in Minnesota? This course will examine the material culture of Indigenous peoples throughout the North American continent above Mexico, from c. 20,000 years ago to present. Cultural groups include the Inuit, Iroquois, ancient Puebloans, Cahokia, Great Plains villages, and Pacific Northwest (Kumash) peoples. We will study Indigenous oral histories, genetic data, linguistics, material remains, and ethnohistorical accounts to examine migration, trade, and contact, with an emphasis on decolonization and Indigenous archaeologies.",Spring 2025,"IDS, Intercultural Domestic Studies, SI, Social Inquiry","AMST Race Ethnicty Indign, AMST Space and Place, MARS Supporting, SOAN Pertinent, CL: 100 level, ARCN Pertinent",,Sarah Kennedy,"M, W",Language & Dining Center 302,9:50am-11:00am,
ARCN 222,Experimental Archaeology and Experiential History and Lab,6 credits,"This course offers an experiential approach to crafts, technologies, and other material practices in premodern societies. Through hands-on activities and collaborations with local craftspeople, farmers, and other experts, this course will examine and test a variety of hypotheses about how people in the past lived their lives. How did prehistoric people produce stone tools, pottery, and metal? How did ancient Greeks and Romans feed and clothe themselves? How did medieval Europeans build their homes and bury their dead? Students will answer these questions and more by actively participating in a range of experimental archaeology and experiential history projects. Lab required.",Spring 2025,"LS, Science with Lab","ARCN Pertinent, CLAS Civ Archaeologcl Anlys, DGAH Cross Disc Collabortn, MARS Supporting, CL: 200 level",Student has completed any of the following course(s): One Archaeology Pertinent (tagged ARCN Pertinent) course with a grade of C- or better.,Austin Mason,"M, W",Anderson Hall 122,11:10am-12:20pm,
ARTH 214,Queer Art,6 credits,"Beyond surveying the rich history of arts by LGBTQA+ individuals, this course takes as its object of study the ways in which the arts have been used to question, undermine, and subvert the gendered and sexual norms of dominant cultures—in short, to queer them. In so doing, such visual and performative practices offer new, alternative models of living and acting in the world based on liberatory politics and aesthetics. This course will consider topics such as: censorship of queer artists; art of the AIDS crisis; activist performance; the sexual politics of public space; and queer intersections of race, class and gender in visual art among others.Extra time",Spring 2025,"IDS, Intercultural Domestic Studies, LA, Literary/Artistic Analysis","ARTS ARTH Post 1900, GWSS Elective, CL: 200 level",Student has completed any of the following course(s): One Art History (ARTH) course with a grade of C- better.,Ross Elfline,"M, W",Boliou 161,11:10am-12:20pm,
ARTH 298,The History of Art History,6 credits,An intensive study of the nature of art history as an intellectual discipline and of the approaches scholars have taken to various art historical problems. Attention as well to principles of current art historical research and writing. Recommended for juniors who have declared art history as a major or a minor.,Spring 2025,"LA, Literary/Artistic Analysis","ASST Disciplinary, ASST Methodology, CL: 200 level",,Jessica Keating,"T, TH",Boliou 161,10:10am-11:55am,
ARTS 113,Field Drawing,6 credits,"A beginning drawing course for students who are interested in developing their skills in drawing from nature, to better see and understand their surroundings. Class material covers line, form, dimension, value, perspective, and space using a variety of drawing materials. Subject matter includes specimens, plant forms, and the landscape. Students will use a portable sketchbook, and classes during the second part of the term are primarily outside. Locations include the Arb and field trips; access to these sites does include walking on unpaved paths and uneven terrain.Sophomore Priority;Two seats held for Art and Art History majors until the day after junior priority registration.",Spring 2025,"ARP, Arts Practice","ARTS 2-D Emphasis, ENTS Society, Culture and Policy, CL: 100 level",,Eleanor Jensen,"T, TH",Weitz Center 242,9:00am-11:30am,
ARTS 122,Introduction to Sculpture,6 credits,"The ability to build structures that reflect or alter the environment is a basic defining characteristic of our species. In this class we explore creative construction in three dimensions using a variety of media, including plaster, wood, and steel. Using both natural and architectural objects for inspiration, we will examine and manipulate form, space, and expressive content to develop a deeper understanding of this core trait and reawaken our experience of the spaces we inhabit.Sophomore Priority; Three seats held for Art and Art History majors until the first day of sophomore registration.Extra Time Required for field trip",Spring 2025,"ARP, Arts Practice","ARTS 3-D Emphasis, CL: 100 level",,Stephen Mohring,"T, TH",Boliou 020,1:15pm-3:45pm,
ARTS 139,Beginning Photography,6 credits,"In this course students explore photography as a means of understanding and interacting with both the world and the inner self. We will emphasize a balance of technical skills, exploration of personal vision, and development of critical thinking and vocabulary relating to photography. Beginning students will learn how to use analogue and digital cameras, to use basic studio lighting equipment, and to print their own photographic work. Additionally, students will learn to develop a portfolio as an ongoing process that requires informed and critical decision making to assemble a body of work. Collectively we will critique, analyze, give feedback on work, and discuss readings that are pertinent to the production of images in contemporary times.Sophomore Priority; Two seats held for Art and Art History majors until the day after junior priority registration.",Spring 2025,"ARP, Arts Practice",CL: 100 level,,Xavier Tavera Castro,"M, W",Boliou 130,8:30am-11:00am,
ARTS 230,Ceramics: Throwing,6 credits,"This course is focused on the creative possibilities of the pottery wheel as a means to create utilitarian objects. Students are challenged to explore conceptual ideas while maintaining a dedication to function. An understanding of aesthetic values and technical skills are achieved through studio practice, readings, and demonstrations. Basic glaze and clay calculations, high fire and wood kiln firing techniques, and a significant civic engagement component, known as the Empty Bowls Project, are included in the course.Two seats held for Art and Art History majors until the day after junior priority registration.",Spring 2025,"ARP, Arts Practice","ACE Applied, ARTS 3-D Emphasis, CL: 200 level",Student has completed any of the following course(s):ARTS 130– Beginning Ceramics orARTS 236– Ceramics: Vessels for Tea with a grade of C- or better.,Kelly Connole,"M, W",Boliou 046,12:30pm-3:00pm,
ARTS 252,Metalsmithing: Ancient Technology- New Technologies,6 credits,"This course focuses on lost wax casting, 3D modeling and printing, and stone setting as methods to create jewelry and small sculptural objects in bronze and silver. Specific instruction will be given in the proper use of tools, torches, and other equipment, wax carving, and general metalsmithing techniques. Through the use of 3D modeling software and 3D printing, new technologies will expedite traditional processes allowing for a broad range of metalworking possibilities.Two seats held for Art and Art History majors until the day after junior priority registration.",Spring 2025,"ARP, Arts Practice","ARTS 3-D Emphasis, DGAH Cross Disc Collabortn, CL: 200 level",Student has completed any of the following course(s):ARTS 151– Metalsmithingwith a grade of C- or better.,Danny Saathoff,"T, TH",Boliou 044,9:00am-11:30am,
ARTS 262,Watercolor,6 credits,"This course provides an introduction to the medium of watercolor painting and gouache (opaque water-based paint) on paper surfaces. Students will develop an understanding of basic color interactions and a wide spectrum of paint application strategies from meticulous refined brushwork to fluid, expressive markmaking.Two seats held for Art and Art History majors until the day after junior priority registration.",Spring 2025,"ARP, Arts Practice","ARTS 2-D Emphasis, ARTS Pertinnt, CL: 200 level","Student has completed any of the following course(s):ARTS 110– Observational Drawing,ARTS 113– Field Drawing orARTS 114– Introduction to Drawing Architecture with grade of C- or better or equivalent.",David Lefkowitz,"M, W",Boliou 162,12:30pm-3:00pm,
ARTS 298,Junior Studio Art Practicum,6 credits,"Required for the studio major, and strongly recommended for the junior year, this seminar is for student artists considering lives as producers of visual culture. At the core of the course are activities that help build students’ identities as practicing artists. These include the selection and installation of artwork for the Junior Show, a presentation about their own artistic development, and studio projects in media determined by each student that serve as a bridge between media-specific studio art courses and the independent creative work they will undertake as Seniors in Comps. The course will also include reading and discussion about what it means to be an artist today, encounters with visiting artists and trips to exhibition venues in the Twin Cities.Extra Time",Spring 2025,No Exploration,CL: 200 level,,Jade Hoyer,"T, TH",Boliou 140,1:15pm-3:45pm,
ARTS 322,Sculpture 2: Form and Context,6 credits,"In this intimate and nimble seminar, we will continue our exploration of the many wonders of sculpture, further developing our previous studio-based investigations. During several short and two prolonged problem-based assignments we will work to develop our personal voice and a more nuanced material expression in our art.  We’ll be introducing interior and exterior site-specific installation, casting, advanced woodworking and welding techniques, as well as the potential for interactive robotics and digital media, to the range of possibilities. In Arts 322 you are free to explore the processes that most intrigue you–no specific material or sculptural format will be required.Two seats held for Art and Art History majors until the day after junior priority registration.Extra Time Required",Spring 2025,"ARP, Arts Practice","ARTS 3-D Emphasis, CL: 300 level","Student has completed of the following course(s):ARTS 122– Introduction to Sculpture,ARTS 222– Sculptural Practice,ARTS 327– Woodworking orCS 232– Art, Interactivity, and Microcontrollers with a grade of C- or better.",Stephen Mohring,"T, TH",Boliou 020,9:00am-11:30am,
ARTS 339,Advanced Photography,6 credits,"In this course students explore photography as a means of understanding and interacting with both the world and the inner self. We will emphasize a balance of technical skills, exploration of personal vision, and development of critical thinking and vocabulary relating to photography. Advanced students will focus on developing a concise body of work independently through two self-directed longer projects. Instruction includes: use of large format cameras with a hand meter, film scanning, and strobe lighting. Students will learn to develop a portfolio as an ongoing process that requires informed and critical decision making to assemble a body of work. Collectively we will critique, analyze, give feedback on work and discuss readings that are pertinent to the production of images in contemporary times.Two seats held for Art and Art History majors until the day after junior priority registration.",Spring 2025,"ARP, Arts Practice","ARTS 2-D Emphasis, CAMS Extra Departmental, DGAH Critand Ethical Reflectn, CL: 300 level",Student has completed any of the following course(s):ARTS 139– Beginning Photography orARTS 142– The Book As Art Object orARTS 244– Alternative Processes orARTS 245– Constructed Image with gradeof C- or better.,Xavier Tavera Castro,"M, W",Boliou 130,12:30pm-3:00pm,
ARTS 374,Advanced Printmaking,6 credits,"This course builds upon student’s prior introductory coursework in any printmaking media (Silkscreen, Relief, Intaglio, Risography, or Lithography). We will engage in further technical study in printmaking as well as pursue conceptual engagement in theory and readings relevant to the field. This course will emphasize student-directed learning and the integration of concept and media.",Spring 2025,"ARP, Arts Practice","ARTS 2-D Emphasis, CL: 300 level","Student has completed any of the following course(s):ARTS 273– Printmaking,ARTS 274– Printmaking,ARTS 276– Design + Art Publications orARTS 278Intaglio Printmaking with gradeof C- or better",Jade Hoyer,"T, TH",Boliou 032,9:00am-11:30am,
ASLN 111,Writing Systems,6 credits,"The structure and function of writing systems, with emphasis on a comparison of East Asian writing systems (Chinese, Japanese, Korean) to Western alphabetic systems. Topics covered include classification of writing systems, historical development, diffusion and borrowing of writing systems, and comparison with non-writing symbol systems.",Spring 2025,"CX, Cultural/Linguistics, SI, Social Inquiry","ASST East Asia, ASST Social Science, CCST Encounters, EAST Supporting, CL: 100 level, LING Elective",,Lin Deng,"M, W",Library 305,1:50pm-3:00pm,
ASST 110,Elementary Hindi Language,6 credits,"This course will introduce students to basic spoken and written Hindi and Urdu, languages spoken widely across India and Pakistan. The course will teach speaking, listening, reading and writing skills as these are used in everyday social and cultural situations. While in elementary spoken form Hindi and Urdu are almost indistinguishable, they are written in two distinct scripts, both of which students will learn.Students who have studied Hindi language on the Off-Campus Program “India: Globalization and Local Responses” are not eligible to enroll in this course.",Spring 2025,No Exploration,CL: 100 level,Not open to students that have studied the Hindi Language through the Carleton OCS India: Globalization and Local Response program.,Brendan LaRocque,"M, W",Library 305,11:10am-12:20pm,
ASST 285,"Mapping Japan, the Real and the Imagined",6 credits,"From ancient to present times, Japan drew and redrew its borders, shape, and culture, imagining its place in this world and beyond, its cultural and racial identity. This course is a cartographic exploration of this complex and contested history. Cosmological mandalas, hell images, travel brochures, and military maps bring to light the imagined Japan—its religious vision, cartographic imagination, and political ambition—that dictated its geopolitical expansion abroad and the displacement of minority peoples “at home.” We will use a variety of textual and visual materials, including those in Carleton’s Rare Book and Map Collections.",Spring 2025,"HI, Humanistic Inquiry, IS, International Studies, WR2 Writing Requirement 2","ASST East Asia, ASST Humanities, EAST Supporting, RELG Pertinent Course, RELG XDept Pertinent, DGAH Cross Disc Collabortn",,Asuka Sango,"T, TH",Leighton 236,1:15pm-3:00pm,
ASTR 113,Observational Astronomy,3 credits,Theory and practice of basic techniques in observational and laboratory astronomy. Certain problems involve the use of the 16-inch and 8-inch telescopes.,Spring 2025,"LS, Science with Lab, QRE, Quantitative Reasoning",CL: 100 level,Student has completed any of the following course(s):ASTR 100– Argument and Inquiry orASTR 110– Introduction to Astronomy & Lab orASTR 127– Topics in Modern Astrophysics orASTR 232– Astrophysics I orASTR 233– Astrophysics II orPHYS 228– Atomic & Nuclear Physics & Lab orPHYS 232– Astrophysics I orPHYS 233– Astrophysics II with a grade of C- or better.,Seth Kimbrell,W,Goodsell 104,9:00pm-11:59pm,
ASTR 233,Astrophysics II,6 credits,"A study of galactic and extragalactic astronomy with an emphasis on the physical principles underlying the observed phenomena. Topics include the structure and dynamics of the Milky Way Galaxy and other galaxies, the interstellar medium, quasars and active galaxies, clusters and superclusters, and cosmology.",Spring 2025,"No Exploration, QRE, Quantitative Reasoning",CL: 200 level,Student has completed any of the following course(s):PHYS 228– Atomic and Nuclear Physics and Lab orPHYS 231– Analytical and Computational Mechanics with a grade of C- or better or equivalent.,Andreia Carrillo,"M, W",Anderson Hall 036,1:50pm-3:00pm,
BIOC 311,Biochemistry Laboratory,2 credits,"This course introduces students to fundamental biochemical laboratory techniques important to studying protein structure and function, such as the manipulation of nucleic acids, electrophoresis, protein purification, and functional assays. Students will apply these techniques to scientific problems drawn from faculty research.BIOC 301 is a prereq; it cannot be taken concurrently with BIOC 311",Spring 2025,"LS, Science with Lab","BIOC Core, BIOL Molecular and Cell Biology, CHEM Elective Lab",Student has completed any of the following course(s):BIOC 301– Survey of Biochemistry with a grade of C- or better.,Chris Calderone,T,Anderson Hall 229,1:00pm-5:00pm,
BIOC 331,Current Topics in Biochemistry,6 credits,"An examination of one or more topics of current research interest in biochemistry, focused on reading, interpreting, and understanding the scientific literature. Specific topics vary from year to year but are chosen to illustrate the power of biochemical approaches to address important scientific questions. The bulk of the course will be spent in the close reading and discussion of recent research literature.",Spring 2025,No Exploration,"BIOC Core, CL: 300 level",Student has completed any of the following course(s):BIOC 301– Survey of Biochemistry with a grade of C- or better.,Rou-Jia Sung,"T, TH",Olin 106,10:10am-11:55am,
BIOL 125,"Genes, Evolution & Development & Lab",6 credits,"Emphasizes the role of genetic information in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization, including genetics, structure/function of DNA, gene expression and regulation, the changing genetic makeup of species as they evolve, and the development of individual organisms from zygotes. The active learning format of this course allows time in class to apply new concepts with faculty present. Students enter Carleton from a wide variety of academic experiences and our introductory courses are designed to provide a level playing field for students regardless of previous science background.Sophomore Priority; Two seats held for Juniors and Seniors until the first day of sophomore registration.",Spring 2025,"LS, Science with Lab, QRE, Quantitative Reasoning","BIOC Core, NEUR Core, CL: 100 level",,Annie Bosacker,"M, W",Olin 149,9:50am-11:00am,
BIOL 126,Energy Flow in Biological Systems and Lab,6 credits,"Emphasizes the role of energy flow (acquiring, storing, and using energy) in biological systems. Under this theme, we cover subjects from the molecular to the population levels of organization, including structure/function of proteins and enzymes, transport of molecules within biological systems, and links between organismal physiology and ecosystem function. The active learning format of this course allows time in class to apply new concepts with faculty present. Students enter Carleton from a wide variety of academic experiences and our introductory courses are designed to provide a level playing field for students regardless of previous science background.Sophomore Priority; Two seats held for Juniors and Seniors until the first day of sophomore registration.",Spring 2025,"LS, Science with Lab, QRE, Quantitative Reasoning","BIOC Core, ENTS Introductory, CL: 100 level","Student has completed any of the following course(s):CHEM 123– Principles of Chemistry I,CHEM 124– Principles of Chemistry I with Problem Solving orCHEM 128– Principles of Environmental Chemistry with grade of C- or better or received a score of 4 or better on the Chemistry AP exam or received a score of 5 or better on the Chemistry IB exam.",Rou-Jia Sung,"M, W",Olin 149,12:30pm-1:40pm,
BIOL 240,Genetics,6 credits,"A study of the transmission of genetic information between generations of organisms, and of the mechanism of expression of information within an individual organism. The main emphasis will be on the physical and chemical basis of heredity; mutational, transmissional and functional analysis of the genetic material, and gene expression.Spring Term Sophomore Priority, requires concurrent registration in BIOL 241",Spring 2025,"No Exploration, QRE, Quantitative Reasoning","BIOL Elective, BIOL Molecular and Cell Biology, NEUR Elective, PPOL Public Health, CL: 200 level","Student has completed the following courses:BIOL 125– Genes, Evolution, and Development & Lab with a grade of C- or better or received a score of 5 or better on the Biology AP exam or received a score of 6 or better on the Biology IB exam ANDBIOL 126– Energy Glow in Biological Systems & Lab with a grade of C- or better or equivalents.",Stephan Zweifel,"M, W",Leighton 305,12:30pm-1:40pm,
BIOL 241,Genetics Laboratory,2 credits,Requires concurrent registration in Biology 240,Spring 2025,No Exploration,"BIOL Molecular and Cell Biology, BIOL Elective",,Stephan Zweifel,T,Hulings 203,1:00pm-5:00pm,
BIOL 352,Population Ecology,6 credits,"An investigation of the properties of populations and communities. Topics include population growth and regulation, life tables, interspecific and intraspecific competition, predation, parasitism, mutualism, the nature of communities, and biogeography. Expected preparation: previous experience with calculus is necessary, but no specific course is required. Statistics 120 or equivalent exposure to statistical analysis is recommended.Requires concurrent registration in BIOL 353.Recommended course: Statistics 120 or equivalent exposure to statistical analysis",Spring 2025,"QRE, Quantitative Reasoning, LS, Science with Lab","BIOL Ecology and Evolutionary, BIOL Elective, ENTS Environmenal Science, SDSC XDept Elective, CL: 300 level","Student has completed the following courses:BIOL 125– Genes, Evolution, and Development & Lab with a grade of C- or better or received a score of 5 or better on the Biology AP exam or received a score of 6 or better on the Biology IB exam ANDBIOL 126– Energy Glow in Biological Systems & Lab with a grade of C- or better or equivalents.",Mark McKone,"M, W",Hulings 316,11:10am-12:20pm,
BIOL 353,Population Ecology Laboratory,2 credits,Requires concurrent registration in BIOL 352.,Spring 2025,No Exploration,BIOL Ecology and Evolutionary,,Mark McKone,TH,Hulings 106,1:00pm-5:00pm,
BIOL 370,Seminar: Selected Topics in Virology,6 credits,"An examination of selected animal viruses. The course will focus on the most recent developments in HIV-related research, including implications for HIV-treatment and vaccines and the impact of viral infection on the immune system of the host. In addition to studying the structure and replication of particular viruses we will also discuss the current laboratory techniques used in viral research.",Spring 2025,"No Exploration, QRE, Quantitative Reasoning","BIOC Elective, BIOL Data Interpretation, BIOL Elective, PPOL Public Health, CL: 300 level","Student has completed any of the following course(s):BIOL 240– Genetics, orBIOL 280– Cell Biology with grade of C- or better.",Debby Walser-Kuntz,"M, W",Anderson Hall 323,9:50am-11:00am,
BIOL 378,Seminar: The Origin and Early Evolution of Life,6 credits,"The Earth formed four and a half billion years ago. Evidence suggests that within 700 million years, life had gained a foothold on this planet. We will delve into the primary literature to explore fundamental questions about the origin and evolution of life: How did life arise from non-life on the dynamic young Earth? Where on Earth did life begin? Did life only arise once? What did the first living organisms look like? What was the nature of our last universal common ancestor? How did life alter the planet on which it arose? Could life originate elsewhere in the cosmos?",Spring 2025,"No Exploration, QRE, Quantitative Reasoning","ACE Applied, BIOL Data Interpretation, BIOL Elective, CL: 300 level","Student has completed any of the following course(s):BIOL 125– Genes, Evolution, and Development & Lab with a grade of C- or better or received a score of 5 or better on the Biology AP exam or received a score of 6 or better on the Biology IB exam ANDBIOL 126– Energy Glow in Biological Systems & Lab with a grade of C- or betterAND one 200 or 300 level BIOL course with a grade of C- or better.",Rika Anderson,"M, W",Olin 104,9:50am-11:00am,
CAMS 110,Introduction to Cinema and Media Studies,6 credits,"This course introduces students to the basic terms, concepts and methods used in cinema studies and helps build critical skills for analyzing films, technologies, industries, styles and genres, narrative strategies and ideologies. Students will develop skills in critical viewing and careful writing via assignments such as a short response essay, a plot segmentation, a shot breakdown, and various narrative and stylistic analysis papers. Classroom discussion focuses on applying critical concepts to a wide range of films. Requirements include two screenings per week.Sophomore Priority. Extra Time required for screenings",Spring 2025,"LA, Literary/Artistic Analysis, WR2 Writing Requirement 2","AMMU Music Foundations, CAMS Core Courses, CL: 100 level",,Carol Donelan,"T, TH",Weitz Center 132,1:15pm-3:00pm,
CAMS 111,Intro to Cinema & Media Production,6 credits,"This class introduces students to the full range of production tools and forms, building both the technical and conceptual skills needed to continue at more advanced levels. We will explore the aesthetics and mechanics of shooting digital video, the role of sound and how to record and mix it, field and studio production, lighting, and editing with Adobe Premiere Pro CC. Course work will include individual and group production projects, readings, and writing. This is an essential foundation for anyone interested in moving-image production and learning the specifics of CAMS' studios, cameras, and lighting equipment.Sophomore Priority. Formerly titled Digital Foundations. Extra Time required for evening equipment and software labs",Spring 2025,"ARP, Arts Practice","CAMS Core Courses, DGAH Skill Building, CL: 100 level",,Cecilia Cornejo,"T, TH",Weitz Center 133,10:10am-11:55am,
CAMS 186,Film Genres,6 credits,"In this course we survey four or more Hollywood film genres, including but not limited to the Western, musical, horror film, comedy, and science-fiction film. What criteria are used to place a film in a particular genre? What role do audiences and studios play in the creation and definition of film genres? Where do genres come from? How do genres change over time? What roles do genres play in the viewing experience? What are hybrid genres and subgenres? What can genres teach us about society? Assignments aim to develop skills in critical analysis, research and writing.Sophomore Priority Extra Time for Evening screenings",Spring 2025,"LA, Literary/Artistic Analysis, WR2 Writing Requirement 2","CAMS Elective, CL: 100 level",,Carol Donelan,"M, W",Weitz Center 132,1:50pm-3:00pm,
